city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,garage,basement,sale_year,sale_price
Laval,Vimont,Townhouse,4,2,1005,4322.0,2017,yes,yes,2022,355000
Sherbrooke,Lennoxville,Triplex,8,4,2424,6651.0,1980,yes,yes,2022,563000
Saguenay,La Baie,Single Family,4,3,1641,9645.0,2000,yes,no,2024,330000
Sherbrooke,Lennoxville,Duplex,5,3,1932,4096.0,1967,no,yes,2021,394000
Montréal,Saint-Léonard,Townhouse,3,2,1108,3938.0,2011,no,yes,2022,393000
Sherbrooke,Fleurimont,Triplex,7,5,2817,4055.0,1978,no,yes,2024,737000
Québec,Charlesbourg,Townhouse,2,2,1134,3214.0,1911,no,no,2025,295000
Québec,Beauport,Single Family,4,2,1422,5679.0,2021,yes,yes,2022,374000
Québec,Beauport,Single Family,4,3,1495,7126.0,2001,yes,yes,2024,514000
Sherbrooke,Centre-Ville,Single Family,3,3,1208,6886.0,1974,yes,yes,2023,368000
Québec,Beauport,Townhouse,3,1,966,2804.0,1933,yes,no,2022,247000
Longueuil,Saint-Hubert,Single Family,6,2,1465,7152.0,1964,yes,no,2024,557000
Longueuil,Vieux-Longueuil,Single Family,3,1,1226,12225.0,2009,yes,yes,2024,604000
Montréal,Rosemont,Townhouse,3,2,1127,2941.0,1953,yes,yes,2024,440000
Brossard,Secteur A,Single Family,4,3,1064,3813.0,2013,yes,yes,2024,568000
Terrebonne,Terrebonne Ouest,Single Family,4,1,1092,6366.0,1974,yes,yes,2021,532000
Drummondville,Centre-Ville,Single Family,2,4,1072,5867.0,1982,yes,yes,2024,326000
Val-d'Or,Val-d'Or Centre,Single Family,5,3,1648,7239.0,1975,no,yes,2023,231000
Laval,Sainte-Dorothée,Triplex,8,3,1979,5393.0,2006,yes,yes,2021,652000
Mirabel,Sainte-Monique,Single Family,4,2,1452,10527.0,1988,no,yes,2021,318000
Montréal,Verdun,Single Family,4,2,1561,7028.0,1998,no,yes,2023,559000
Terrebonne,Lachenaie,Single Family,2,2,1548,5432.0,2017,yes,yes,2022,658000
Montréal,Ville-Marie,Townhouse,3,2,1097,2048.0,1959,yes,no,2025,549000
Victoriaville,Centre-Ville,Triplex,4,4,2221,3680.0,1975,no,yes,2022,555000
Mirabel,Sainte-Monique,Single Family,3,3,1384,6206.0,1973,yes,yes,2021,367000
Lévis,Saint-Nicolas,Single Family,3,3,1869,4970.0,1976,yes,no,2022,402000
Repentigny,Le Gardeur,Single Family,5,3,1724,4633.0,1960,yes,yes,2025,927000
Brossard,Secteur C,Townhouse,3,2,1254,1864.0,2009,yes,yes,2021,453000
Mirabel,Saint-Canut,Single Family,4,2,1325,6329.0,2010,yes,yes,2025,533000
Laval,Fabreville,Single Family,6,3,1571,9257.0,1997,yes,no,2023,580000
Longueuil,Saint-Hubert,Triplex,6,4,2339,6106.0,1984,yes,yes,2024,1001000
Val-d'Or,Val-d'Or Centre,Duplex,5,2,1668,5622.0,2008,no,yes,2021,207000
Longueuil,Greenfield Park,Single Family,4,2,1478,6966.0,1990,yes,yes,2025,723000
Laval,Duvernay,Single Family,4,1,1343,9242.0,2004,yes,yes,2025,688000
Montréal,Plateau-Mont-Royal,Triplex,7,5,2491,6207.0,2012,no,yes,2025,1413000
Rimouski,Rimouski Centre,Single Family,6,3,1704,12261.0,1990,yes,yes,2025,341000
Drummondville,Saint-Charles,Triplex,8,4,1758,5159.0,2006,yes,yes,2024,535000
Repentigny,Repentigny Centre,Single Family,5,2,1864,6303.0,2017,yes,yes,2021,632000
Laval,Duvernay,Single Family,3,2,1441,8030.0,2021,yes,no,2022,514000
Montréal,Plateau-Mont-Royal,Single Family,3,3,1607,5595.0,1912,yes,yes,2025,696000
Montréal,NDG,Single Family,4,2,1038,9714.0,1976,yes,yes,2025,587000
Brossard,Secteur B,Townhouse,3,2,1006,2323.0,1973,yes,yes,2022,344000
Gatineau,Gatineau Centre,Single Family,5,2,1623,7999.0,2022,yes,yes,2023,617000
Québec,Charlesbourg,Townhouse,2,2,1186,2515.0,1962,yes,no,2024,329000
Montréal,Villeray,Townhouse,2,1,1032,3798.0,2004,no,yes,2021,315000
Candiac,Candiac Centre,Single Family,3,2,1455,7997.0,1979,yes,yes,2024,527000
Montréal,Ahuntsic,Townhouse,2,2,1091,3420.0,1956,no,yes,2021,311000
Montréal,Plateau-Mont-Royal,Bungalow,4,1,861,3787.0,1972,no,yes,2021,327000
Saguenay,La Baie,Duplex,6,3,1940,4303.0,1959,yes,no,2023,310000
Longueuil,Vieux-Longueuil,Single Family,6,2,1691,8336.0,1998,yes,yes,2021,545000
Laval,Pont-Viau,Duplex,6,3,2030,3201.0,1967,no,yes,2024,860000
Granby,Centre-Ville,Single Family,6,2,1362,7117.0,1976,yes,yes,2022,479000
Montréal,Ville-Marie,Single Family,2,2,1376,9933.0,2009,no,yes,2021,462000
Québec,Sillery,Townhouse,4,3,859,2843.0,1981,yes,yes,2021,216000
Laval,Duvernay,Townhouse,3,3,1126,2316.0,2006,yes,yes,2024,482000
Blainville,Blainville Centre,Bungalow,4,2,826,5674.0,2011,yes,no,2025,488000
Saint-Jérôme,Bellefeuille,Single Family,3,2,1737,6793.0,1984,yes,yes,2021,402000
Québec,Sillery,Single Family,5,2,1582,9555.0,1915,no,yes,2025,456000
Lévis,Saint-Nicolas,Triplex,4,5,2435,7109.0,1956,yes,yes,2025,607000
Montréal,LaSalle,Single Family,5,1,1723,5003.0,1943,yes,yes,2025,696000
Blainville,Blainville Centre,Duplex,6,3,1789,5047.0,2018,yes,yes,2025,627000
Laval,Sainte-Dorothée,Single Family,3,2,899,5912.0,1989,yes,yes,2025,596000
Laval,Fabreville,Single Family,3,3,1114,10992.0,1964,yes,yes,2025,693000
Alma,Alma Centre,Single Family,4,4,1515,5194.0,2002,yes,yes,2021,273000
Drummondville,Saint-Charles,Single Family,3,3,1021,13445.0,1966,no,yes,2024,296000
Québec,Sainte-Foy,Single Family,5,3,1179,7377.0,1992,yes,yes,2023,289000
Terrebonne,Terrebonne Ouest,Single Family,4,2,1541,14111.0,1991,yes,yes,2021,678000
Repentigny,Repentigny Centre,Triplex,6,4,1946,5812.0,2019,yes,no,2023,992000
Longueuil,Vieux-Longueuil,Townhouse,3,2,944,3225.0,1968,no,yes,2024,359000
Terrebonne,Lachenaie,Triplex,6,4,2084,6499.0,1972,yes,yes,2024,861000
Québec,Vanier,Single Family,5,1,1352,8943.0,1956,yes,yes,2025,508000
Longueuil,Le Vieux-Longueuil,Single Family,4,2,1859,4142.0,1959,yes,yes,2022,585000
Blainville,Blainville Centre,Single Family,4,2,1696,5826.0,1986,yes,yes,2024,569000
Québec,Charlesbourg,Single Family,6,2,1396,4784.0,1907,yes,yes,2025,495000
Saint-Jean-sur-Richelieu,Centre-Ville,Bungalow,3,2,1202,6975.0,1974,yes,yes,2023,322000
Québec,Charlesbourg,Townhouse,2,3,1230,2609.0,1993,yes,yes,2023,303000
Montréal,Lachine,Bungalow,3,2,853,4903.0,1911,no,yes,2021,406000
Montréal,Saint-Léonard,Single Family,3,3,2080,7912.0,1987,no,no,2022,624000
Longueuil,Le Vieux-Longueuil,Single Family,3,3,1343,11134.0,2001,yes,yes,2025,619000
Québec,Sillery,Single Family,3,2,1484,7194.0,2006,no,yes,2024,412000
Longueuil,Greenfield Park,Duplex,4,4,1715,5571.0,1965,yes,yes,2025,854000
Gatineau,Gatineau Centre,Single Family,3,2,1754,6378.0,1992,yes,yes,2024,541000
Vaudreuil-Dorion,Centre-Ville,Triplex,5,4,2251,3462.0,1962,yes,yes,2025,733000
Brossard,Secteur B,Townhouse,3,2,1060,2672.0,1959,no,yes,2022,352000
Brossard,Solar Uniquartier,Townhouse,3,2,915,3289.0,2000,yes,yes,2022,407000
Saint-Jean-sur-Richelieu,Iberville,Single Family,4,2,1305,4534.0,1972,yes,yes,2024,325000
Victoriaville,Centre-Ville,Single Family,4,1,1818,4266.0,2015,yes,no,2022,461000
Longueuil,Saint-Hubert,Townhouse,3,2,965,3266.0,1973,yes,yes,2022,372000
Laval,Fabreville,Single Family,5,3,1492,5786.0,2021,yes,no,2022,519000
Montréal,LaSalle,Single Family,4,3,1751,10531.0,1994,yes,yes,2023,596000
Sept-Îles,Sept-Îles Centre,Townhouse,3,2,853,2609.0,2009,no,yes,2023,141000
Montréal,Villeray,Single Family,5,3,1591,10504.0,1973,no,yes,2024,644000
Brossard,Solar Uniquartier,Townhouse,3,2,1081,1926.0,1967,yes,yes,2023,399000
Lévis,Lévis Centre,Single Family,4,2,806,5717.0,2020,yes,no,2021,221000
Terrebonne,Terrebonne Ouest,Townhouse,3,2,1131,2862.0,1982,no,yes,2024,555000
Québec,Limoilou,Single Family,4,2,1729,5599.0,2020,no,yes,2021,397000
Montréal,Ahuntsic,Triplex,5,5,2243,5087.0,1961,no,yes,2024,1005000
Rimouski,Rimouski Centre,Duplex,5,3,2016,6077.0,1989,yes,yes,2023,278000
Québec,Sainte-Foy,Single Family,4,1,1645,11247.0,1944,yes,no,2024,544000
Boucherville,Boucherville Centre,Duplex,5,4,1381,3937.0,2021,yes,yes,2024,500000
Montréal,Pointe-aux-Trembles,Townhouse,2,2,879,3022.0,1982,yes,yes,2023,326000
Laval,Sainte-Dorothée,Single Family,3,2,1079,5841.0,1997,yes,yes,2024,544000
Montréal,Pointe-aux-Trembles,Townhouse,2,2,974,2660.0,1999,yes,yes,2024,399000
Longueuil,Greenfield Park,Single Family,4,3,2040,4426.0,1962,yes,yes,2022,692000
Brossard,Solar Uniquartier,Triplex,6,5,2297,4572.0,2019,yes,yes,2024,973000
Sherbrooke,Fleurimont,Duplex,4,3,1955,4736.0,2009,yes,yes,2024,637000
Montréal,Ahuntsic,Townhouse,3,3,984,4019.0,1921,yes,yes,2022,416000
Montréal,Mercier,Duplex,3,3,1637,4651.0,1983,yes,yes,2022,686000
Sherbrooke,Rock Forest,Single Family,3,3,1450,7408.0,2014,yes,no,2023,435000
Boucherville,Boucherville Centre,Single Family,4,2,1782,6382.0,1961,yes,yes,2024,640000
Repentigny,Repentigny Centre,Single Family,3,2,1296,5395.0,1970,yes,no,2022,462000
Saint-Bruno-de-Montarville,Centre-Ville,Duplex,4,4,1862,5282.0,1993,yes,yes,2024,746000
Laval,Fabreville,Duplex,6,3,1530,7066.0,2014,no,no,2025,712000
Drummondville,Saint-Charles,Single Family,4,1,1767,9486.0,1982,yes,yes,2022,401000
Longueuil,Vieux-Longueuil,Townhouse,3,3,1129,2611.0,2023,yes,yes,2025,642000
Montréal,LaSalle,Single Family,3,2,1575,6364.0,1904,yes,yes,2023,490000
Trois-Rivières,Cap-de-la-Madeleine,Duplex,4,4,1907,7009.0,2020,yes,yes,2024,313000
Longueuil,Saint-Hubert,Townhouse,2,2,1229,2385.0,2014,no,yes,2023,465000
Granby,Centre-Ville,Single Family,3,3,1606,6012.0,1970,yes,no,2024,486000
Drummondville,Saint-Charles,Single Family,3,3,1577,9666.0,1983,yes,yes,2024,397000
Blainville,Blainville Centre,Single Family,5,2,1456,7671.0,2003,no,yes,2025,621000
Sherbrooke,Centre-Ville,Townhouse,3,3,1145,3266.0,1978,yes,no,2024,353000
Saint-Jérôme,Bellefeuille,Single Family,2,4,1169,7243.0,2000,yes,yes,2022,337000
Laval,Vimont,Duplex,5,4,1883,5176.0,1991,yes,yes,2024,631000
Blainville,Blainville Centre,Single Family,3,3,869,5047.0,2002,yes,yes,2025,380000
Longueuil,Vieux-Longueuil,Triplex,6,4,2561,3352.0,1985,yes,no,2025,1166000
Québec,Vanier,Townhouse,3,2,919,3132.0,1996,yes,yes,2022,262000
Montréal,Pointe-aux-Trembles,Townhouse,3,2,892,2722.0,2019,yes,yes,2021,359000
Brossard,Solar Uniquartier,Single Family,3,4,1452,6294.0,1960,yes,yes,2023,551000
Saint-Jérôme,Bellefeuille,Single Family,4,3,1667,11984.0,1975,yes,yes,2021,418000
Saguenay,Jonquière,Single Family,4,2,1494,5362.0,1965,yes,yes,2024,311000
Saguenay,La Baie,Single Family,3,3,1383,6093.0,1998,yes,no,2024,343000
Rimouski,Rimouski Centre,Single Family,4,2,1023,12041.0,1984,yes,yes,2023,232000
Québec,Sainte-Foy,Townhouse,3,1,989,3482.0,1956,no,yes,2023,247000
Laval,Fabreville,Townhouse,3,2,907,2434.0,1975,yes,yes,2022,416000
Brossard,Secteur B,Townhouse,3,3,1303,3400.0,2009,yes,yes,2023,466000
Montréal,LaSalle,Duplex,5,3,1797,3594.0,1988,no,no,2021,684000
Longueuil,Saint-Hubert,Single Family,3,3,1576,4893.0,2015,no,yes,2024,663000
Montréal,Saint-Léonard,Townhouse,3,2,1013,2185.0,1916,no,yes,2023,349000
Longueuil,Saint-Hubert,Triplex,4,5,1891,3499.0,1962,yes,yes,2025,848000
Longueuil,Greenfield Park,Single Family,3,2,1246,10654.0,1989,yes,no,2023,517000
Trois-Rivières,Cap-de-la-Madeleine,Townhouse,2,2,889,2106.0,2007,yes,yes,2023,221000
Saint-Jean-sur-Richelieu,Iberville,Single Family,3,1,1880,8550.0,1960,no,yes,2023,439000
Candiac,Candiac Centre,Duplex,3,3,1877,2675.0,1986,yes,yes,2021,480000
Laval,Fabreville,Townhouse,4,3,943,2697.0,1955,no,yes,2021,346000
Trois-Rivières,Centre-Ville,Single Family,3,3,2053,6281.0,1972,yes,yes,2024,495000
Montréal,Mercier,Duplex,4,3,1626,4354.0,1996,no,yes,2025,791000
Brossard,Secteur C,Townhouse,3,3,998,2366.0,1960,no,yes,2023,415000
Longueuil,Vieux-Longueuil,Single Family,6,3,1859,7851.0,2000,yes,yes,2025,778000
Montréal,Saint-Léonard,Single Family,4,3,1303,8017.0,2007,yes,no,2022,466000
Terrebonne,La Plaine,Single Family,4,1,1514,10094.0,1969,yes,yes,2025,659000
Longueuil,Greenfield Park,Duplex,5,3,1458,5276.0,1971,yes,yes,2022,471000
Brossard,Secteur B,Townhouse,3,1,1096,2602.0,1961,yes,no,2023,429000
Longueuil,Vieux-Longueuil,Single Family,3,1,1096,5110.0,1966,yes,yes,2024,555000
Brossard,Secteur B,Single Family,5,3,1147,4507.0,1984,yes,yes,2025,630000
Châteauguay,Centre-Ville,Duplex,4,4,1724,4447.0,2019,no,yes,2025,488000
Blainville,Blainville Centre,Single Family,2,2,1032,5883.0,2020,yes,yes,2021,442000
Lévis,Charny,Duplex,4,3,1514,5287.0,2018,no,no,2023,322000
Mirabel,Sainte-Monique,Duplex,4,4,1877,6947.0,2003,yes,no,2021,423000
Saint-Jérôme,Centre-Ville,Townhouse,3,2,897,3033.0,2010,yes,yes,2023,286000
Québec,Beauport,Duplex,5,2,1612,3899.0,1907,yes,yes,2023,396000
Québec,Lebourgneuf,Single Family,2,3,2029,8622.0,2018,yes,yes,2024,557000
Drummondville,Saint-Charles,Duplex,5,3,2012,6163.0,1971,yes,yes,2023,398000
Québec,Beauport,Single Family,5,3,1561,10251.0,1914,yes,yes,2024,470000
Montréal,Ville-Marie,Single Family,3,2,1687,5072.0,2009,yes,yes,2021,540000
Québec,Val-Bélair,Triplex,6,3,2529,4861.0,1960,yes,no,2025,692000
Laval,Duvernay,Single Family,5,2,1284,8387.0,1965,no,yes,2022,631000
Montréal,Saint-Léonard,Single Family,3,1,1462,9299.0,1904,yes,no,2022,424000
Terrebonne,Terrebonne Ouest,Townhouse,3,2,853,2295.0,1989,no,yes,2024,411000
Montréal,LaSalle,Single Family,4,2,1004,5397.0,1999,no,yes,2022,427000
Granby,Centre-Ville,Duplex,4,3,1381,5032.0,1964,yes,yes,2024,402000
Québec,Val-Bélair,Single Family,3,3,1380,4859.0,1977,yes,yes,2024,468000
Montréal,Ville-Marie,Duplex,5,4,1617,5699.0,1926,no,yes,2025,664000
Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,2,4,1405,6321.0,2006,yes,yes,2025,405000
Montréal,LaSalle,Single Family,4,4,1348,5227.0,2021,no,yes,2022,556000
Saint-Jérôme,Centre-Ville,Single Family,5,3,1022,8057.0,1971,yes,yes,2022,281000
Montréal,Ahuntsic,Duplex,4,4,1683,6496.0,1945,no,yes,2023,629000
Saint-Bruno-de-Montarville,Centre-Ville,Single Family,4,1,1135,6435.0,2001,yes,yes,2021,410000
Brossard,Secteur C,Single Family,4,4,1722,8465.0,1959,yes,yes,2025,745000
Granby,Centre-Ville,Triplex,5,4,2120,3872.0,2022,no,no,2025,821000
Boucherville,Boucherville Centre,Single Family,3,1,1413,6388.0,1989,yes,yes,2024,503000
Québec,Charlesbourg,Single Family,5,3,1041,7466.0,1972,yes,yes,2024,386000
Laval,Vimont,Single Family,5,2,1940,5027.0,2022,yes,yes,2023,712000
Québec,Lebourgneuf,Duplex,4,3,1358,5449.0,1997,yes,yes,2022,362000
Québec,Charlesbourg,Triplex,5,4,2274,4184.0,1964,yes,yes,2021,476000
Québec,Vanier,Single Family,6,3,1675,7925.0,2015,yes,yes,2023,472000
Montréal,Pointe-aux-Trembles,Townhouse,3,2,993,2200.0,1973,no,yes,2025,430000
Saguenay,Jonquière,Townhouse,2,2,1185,2960.0,1990,yes,no,2021,177000
Longueuil,Greenfield Park,Single Family,4,4,1323,5047.0,1996,yes,yes,2024,628000
Mirabel,Sainte-Monique,Triplex,4,4,2566,5794.0,2003,yes,no,2023,664000
Mirabel,Sainte-Monique,Single Family,3,3,954,8304.0,2018,yes,yes,2025,489000
Laval,Vimont,Single Family,2,3,1582,9629.0,2017,yes,yes,2022,578000
Laval,Duvernay,Triplex,7,4,1749,6038.0,1958,yes,yes,2023,719000
Brossard,Secteur B,Single Family,5,2,1199,11551.0,1982,no,yes,2023,545000
Lévis,Saint-Nicolas,Single Family,5,3,1233,7746.0,1982,yes,no,2022,379000
Montréal,Outremont,Bungalow,2,1,1256,4960.0,1981,yes,yes,2025,668000
Laval,Duvernay,Single Family,3,3,1264,10756.0,1958,yes,yes,2022,471000
Rouyn-Noranda,Rouyn Centre,Single Family,5,3,1307,5250.0,1983,yes,yes,2024,514000
Boucherville,Boucherville Centre,Townhouse,2,2,1199,2051.0,1971,yes,no,2025,452000
Brossard,Secteur A,Duplex,4,3,1594,4994.0,2008,yes,yes,2022,528000
Montréal,NDG,Townhouse,3,3,1197,4351.0,2013,yes,yes,2022,464000
Gatineau,Hull,Single Family,4,3,1672,8909.0,2004,no,no,2023,659000
Terrebonne,Terrebonne Ouest,Single Family,5,2,2091,11570.0,1987,yes,yes,2021,764000
Brossard,Secteur A,Townhouse,4,3,1181,3968.0,1999,yes,no,2023,429000
Granby,Centre-Ville,Single Family,4,2,1419,11969.0,2004,no,yes,2025,535000
Lévis,Lévis Centre,Townhouse,3,2,1134,3243.0,1980,yes,no,2024,289000
Québec,Limoilou,Duplex,3,3,1780,6445.0,1963,yes,yes,2025,523000
Québec,Sillery,Single Family,5,2,2144,6530.0,1957,yes,no,2023,540000
Montréal,Verdun,Bungalow,3,1,1047,7593.0,1950,yes,yes,2024,536000
Mirabel,Sainte-Monique,Single Family,2,3,1900,10398.0,1991,yes,yes,2021,424000
Québec,Sillery,Single Family,3,1,1912,4092.0,2004,yes,no,2025,575000
Brossard,Secteur B,Townhouse,3,1,1006,4204.0,1995,yes,yes,2025,436000
Repentigny,Repentigny Centre,Bungalow,3,2,1008,3599.0,1991,yes,yes,2023,533000
Sherbrooke,Lennoxville,Duplex,5,3,1687,6007.0,1958,yes,yes,2025,478000
Longueuil,Saint-Hubert,Single Family,5,3,1531,7001.0,1998,yes,yes,2025,974000
Sept-Îles,Sept-Îles Centre,Duplex,4,3,1698,4760.0,1997,no,no,2025,222000
Montréal,NDG,Single Family,5,3,1283,10271.0,1962,yes,yes,2025,650000
Saint-Jean-sur-Richelieu,Iberville,Duplex,3,3,1519,3401.0,2015,yes,yes,2024,380000
Sherbrooke,Rock Forest,Triplex,5,5,1899,5701.0,1977,yes,yes,2025,741000
Laval,Duvernay,Single Family,2,1,1184,3824.0,1968,yes,yes,2022,406000
Québec,Limoilou,Townhouse,3,2,1017,4086.0,1995,yes,yes,2022,259000
Montréal,Ahuntsic,Townhouse,2,2,845,2944.0,1927,yes,yes,2025,364000
Trois-Rivières,Centre-Ville,Single Family,3,3,1388,8224.0,1985,yes,no,2023,338000
Québec,Val-Bélair,Single Family,2,1,1626,9217.0,1988,yes,yes,2023,453000
Pointe-Claire,West Island,Single Family,4,3,1447,4472.0,2009,yes,no,2025,664000
Blainville,Blainville Centre,Single Family,4,4,1062,5902.0,1960,yes,no,2021,320000
Saint-Jérôme,Bellefeuille,Single Family,5,3,1791,4867.0,1959,yes,yes,2021,348000
Blainville,Blainville Centre,Single Family,4,2,1530,10919.0,1964,yes,yes,2022,400000
Blainville,Blainville Centre,Townhouse,3,2,1079,4102.0,1974,yes,yes,2021,238000
Repentigny,Le Gardeur,Single Family,5,3,1560,10782.0,1983,yes,yes,2023,641000
Terrebonne,Lachenaie,Duplex,5,2,1872,5630.0,2008,yes,yes,2025,768000
Montréal,Hochelaga-Maisonneuve,Single Family,4,2,1019,5503.0,1959,no,no,2022,412000
Longueuil,Vieux-Longueuil,Duplex,4,4,2088,3885.0,1987,yes,no,2025,859000
Laval,Chomedey,Townhouse,3,2,1282,3905.0,2014,yes,yes,2023,470000
Laval,Sainte-Dorothée,Single Family,6,3,1062,11706.0,1998,yes,yes,2022,468000
Boucherville,Boucherville Centre,Bungalow,2,2,909,5988.0,2006,yes,no,2025,555000
Longueuil,Vieux-Longueuil,Single Family,5,3,1254,9566.0,1968,yes,yes,2024,609000
Laval,Duvernay,Single Family,2,3,1412,7426.0,1996,yes,yes,2022,514000
Brossard,Solar Uniquartier,Duplex,4,2,1610,7567.0,1985,yes,yes,2023,556000
Rimouski,Rimouski Centre,Single Family,3,4,1380,10178.0,1975,no,no,2024,329000
Repentigny,Repentigny Centre,Single Family,3,3,1483,8470.0,1988,yes,no,2025,652000
Terrebonne,Terrebonne Ouest,Single Family,5,3,1660,9030.0,2007,yes,no,2024,795000
Saguenay,Jonquière,Single Family,3,3,1714,6521.0,1971,yes,yes,2023,315000
Montréal,Ahuntsic,Bungalow,4,1,999,8133.0,1970,yes,no,2022,478000
Laval,Chomedey,Single Family,4,1,1485,3383.0,2001,yes,yes,2024,555000
Granby,Centre-Ville,Single Family,5,3,2156,9357.0,1993,yes,yes,2023,620000
Pointe-Claire,West Island,Townhouse,4,2,1152,2707.0,2021,yes,yes,2022,471000
Longueuil,Greenfield Park,Single Family,4,2,1076,12133.0,2007,yes,yes,2024,574000
Gatineau,Gatineau Centre,Duplex,4,3,1463,4058.0,1998,yes,yes,2023,451000
Terrebonne,La Plaine,Duplex,5,3,1963,3620.0,1976,no,yes,2024,692000
Trois-Rivières,Centre-Ville,Townhouse,2,1,969,1852.0,2014,yes,yes,2021,194000
Montréal,Lachine,Single Family,6,3,1616,5213.0,1920,no,yes,2025,613000
Trois-Rivières,Trois-Rivières-Ouest,Single Family,2,3,1176,11631.0,1970,yes,yes,2023,305000
Saguenay,La Baie,Townhouse,3,2,910,2118.0,1974,yes,yes,2021,167000
Sherbrooke,Rock Forest,Single Family,2,2,2146,9029.0,1971,yes,yes,2025,594000
Laval,Duvernay,Single Family,2,2,1385,7182.0,2019,yes,no,2025,633000
Montréal,Mercier,Single Family,6,3,2003,4567.0,2011,yes,yes,2022,741000
Alma,Alma Centre,Townhouse,3,1,1056,2614.0,1974,yes,yes,2021,153000
Longueuil,Greenfield Park,Townhouse,3,2,1001,3167.0,2006,yes,no,2021,360000
Laval,Chomedey,Bungalow,3,2,980,8447.0,2020,yes,yes,2022,507000
Gatineau,Buckingham,Townhouse,3,1,803,3013.0,2010,no,no,2021,280000
Brossard,Solar Uniquartier,Single Family,3,3,1092,8147.0,1985,yes,yes,2022,419000
Sherbrooke,Centre-Ville,Single Family,4,2,1559,7348.0,2022,yes,yes,2023,497000
Longueuil,Greenfield Park,Single Family,6,2,1621,13081.0,2000,yes,yes,2024,898000
Drummondville,Saint-Charles,Single Family,4,3,2017,11309.0,1959,yes,yes,2024,475000
Gatineau,Aylmer,Duplex,3,3,1915,4136.0,2010,no,yes,2024,656000
Châteauguay,Centre-Ville,Single Family,4,3,2123,8325.0,1979,no,yes,2023,395000
Gatineau,Buckingham,Single Family,3,4,1951,10925.0,2006,yes,yes,2023,621000
Granby,Centre-Ville,Townhouse,3,2,856,3025.0,1999,yes,yes,2025,361000
Laval,Chomedey,Townhouse,2,2,1134,3191.0,1992,no,yes,2021,344000
Dollard-des-Ormeaux,West Island,Single Family,5,3,1097,8638.0,2020,yes,yes,2021,429000
Longueuil,Saint-Hubert,Single Family,5,3,1942,8411.0,2021,yes,yes,2023,711000
Longueuil,Vieux-Longueuil,Single Family,4,3,1594,13372.0,1959,yes,no,2024,643000
Laval,Chomedey,Duplex,5,2,1828,6920.0,1984,yes,yes,2024,626000
Montréal,Ville-Marie,Single Family,4,3,2005,8880.0,1906,yes,yes,2025,729000
Sept-Îles,Sept-Îles Centre,Single Family,3,3,1758,7421.0,2000,yes,yes,2021,203000
Laval,Sainte-Dorothée,Townhouse,2,2,1172,3078.0,1961,yes,yes,2023,473000
Rimouski,Rimouski Centre,Single Family,4,2,1254,10163.0,2002,yes,yes,2025,303000
Sherbrooke,Rock Forest,Townhouse,4,1,1148,4011.0,1992,yes,yes,2024,352000
Montréal,Verdun,Townhouse,2,3,1039,2955.0,1906,no,yes,2023,370000
Gatineau,Gatineau Centre,Single Family,4,2,1135,5872.0,1988,yes,yes,2023,510000
Sherbrooke,Centre-Ville,Triplex,7,5,2059,6155.0,1976,yes,no,2025,705000
Montréal,Plateau-Mont-Royal,Single Family,6,3,1806,8797.0,1961,yes,yes,2025,930000
Vaudreuil-Dorion,Centre-Ville,Single Family,4,3,1418,5732.0,1987,yes,yes,2023,492000
Candiac,Candiac Centre,Townhouse,3,2,930,2663.0,2013,yes,yes,2024,377000
Québec,Charlesbourg,Duplex,4,3,1872,5818.0,1968,yes,yes,2021,439000
Longueuil,Greenfield Park,Duplex,5,4,1622,4633.0,2014,yes,yes,2025,904000
Brossard,Secteur C,Townhouse,3,2,1147,3084.0,1991,yes,yes,2021,295000
Laval,Pont-Viau,Single Family,5,2,1601,5795.0,1983,yes,yes,2024,727000
Montréal,Ville-Marie,Townhouse,3,2,985,2329.0,1901,yes,no,2022,394000
Québec,Val-Bélair,Triplex,6,3,2531,4655.0,1984,yes,yes,2023,643000
Longueuil,Le Vieux-Longueuil,Triplex,6,5,1680,5119.0,2012,yes,no,2024,1041000
Alma,Alma Centre,Single Family,4,3,1770,5955.0,1958,yes,no,2022,333000
Saguenay,La Baie,Single Family,2,3,1257,6985.0,1971,yes,yes,2022,196000
Longueuil,Greenfield Park,Single Family,5,3,1073,12415.0,1990,no,yes,2025,657000
Sherbrooke,Fleurimont,Single Family,6,2,1308,5980.0,2008,yes,no,2023,394000
Québec,Beauport,Single Family,4,2,1670,6945.0,1925,yes,yes,2025,447000
Sherbrooke,Lennoxville,Single Family,3,3,1387,5553.0,2020,no,yes,2024,423000
Sherbrooke,Rock Forest,Duplex,4,3,1914,4653.0,1990,yes,yes,2023,519000
Rimouski,Rimouski Centre,Triplex,5,5,2507,4555.0,1958,yes,no,2024,330000
Québec,Charlesbourg,Duplex,4,2,1615,6007.0,2004,yes,no,2025,421000
Boucherville,Boucherville Centre,Townhouse,3,2,1139,2070.0,1996,yes,yes,2022,333000
Repentigny,Repentigny Centre,Single Family,2,3,1033,4777.0,1978,no,yes,2023,409000
Québec,Beauport,Single Family,5,2,1181,6925.0,1916,no,no,2022,349000
Montréal,Mercier,Townhouse,3,3,975,1979.0,1978,yes,yes,2022,370000
Saguenay,Jonquière,Triplex,6,5,1929,7380.0,2016,yes,no,2025,503000
